Title,Location,Price,Area,Rooms
                        Apartment Minervaplein                            ,            1077 TR Amsterdam (Apollobuurt)        ,"                €2,850 per month            ",111 m²,3 rooms
                        Apartment Amstelveenseweg 162 C                            ,            1075 XN Amsterdam (Schinkelbuurt)        ,"                €3,000 per month            ",120 m²,3 rooms
                        Apartment J.J. Cremerplein                            ,            1054 TK Amsterdam (Overtoomse Sluis)        ,"                €3,700 per month            ",133 m²,4 rooms
                        Apartment John Blankensteinstraat 127 A                            ,            1095 MB Amsterdam (Zeeburgereiland/Nieuwe Diep)        ,"                €1,600 per month            ",50 m²,2 rooms
                        Apartment Raoul Wallenbergstraat 145                            ,"            1102 AX Amsterdam (Bijlmer Centrum (D,F,H))        ","                €1,750 per month            ",85 m²,3 rooms
                        Apartment Olympiaweg 64 2                            ,            1076 XC Amsterdam (Stadionbuurt)        ,"                €1,650 per month            ",49 m²,2 rooms
                        Apartment Plantage Muidergracht 73 H                            ,            1018 TN Amsterdam (Weesperbuurt/Plantage)        ,"                €1,850 per month            ",56 m²,2 rooms
                        Apartment Bankastraat                            ,            1094 EE Amsterdam (Indische Buurt West)        ,"                €1,850 per month            ",55 m²,3 rooms
                        Apartment Postjeskade 5 hs                            ,            1058 DE Amsterdam (Westindische Buurt)        ,"                €1,750 per month            ",55 m²,2 rooms
                        Apartment Milletstraat                            ,            1077 ZC Amsterdam (Apollobuurt)        ,"                €2,450 per month            ",102 m²,3 rooms
                        Apartment Nieuwezijds Voorburgwal                            ,            1012 RK Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €2,350 per month            ",58 m²,2 rooms
                        Apartment Keizersgracht                            ,            1015 CV Amsterdam (Grachtengordel-West)        ,"                €3,000 per month            ",80 m²,2 rooms
                        Apartment Beethovenstraat 9 A-II                            ,            1077 HL Amsterdam (Apollobuurt)        ,"                €3,250 per month            ",130 m²,3 rooms
                        Apartment Johannes Verhulststraat                            ,            1075 GZ Amsterdam (Willemspark)        ,"                €4,950 per month            ",170 m²,5 rooms
                        Apartment Insulindeweg                            ,            1094 MH Amsterdam (Indische Buurt West)        ,"                €2,050 per month            ",80 m²,3 rooms
                        Apartment Johannes van der Waalsstraat                            ,            1098 PG Amsterdam (Middenmeer)        ,"                €2,950 per month            ",115 m²,5 rooms
                        Apartment Nieuwpoortstraat 94 C6                            ,            1055 RZ Amsterdam (Landlust)        ,"                €1,700 per month            ",48 m²,2 rooms
                        Apartment Van Tuyll van Serooskerkenweg                            ,            1076 JL Amsterdam (Stadionbuurt)        ,"                €3,450 per month            ",122 m²,5 rooms
                        Apartment Veembroederhof 197                            ,            1019 HD Amsterdam (Oostelijk Havengebied)        ,"                €2,500 per month            ",110 m²,4 rooms
                        Apartment Osdorpplein                            ,            1068 TD Amsterdam (Osdorp-Oost)        ,"                €1,750 per month            ",48 m²,2 rooms
                        Apartment Jacob Marisstraat 86 H                            ,            1058 JA Amsterdam (Hoofddorppleinbuurt)        ,"                €2,750 per month            ",95 m²,3 rooms
                        Apartment Bloemgracht                            ,            1016 KK Amsterdam (Jordaan)        ,"                €3,500 per month            ",75 m²,3 rooms
                        Apartment Bloemgracht                            ,            1016 KK Amsterdam (Jordaan)        ,"                €2,500 per month            ",65 m²,3 rooms
                        Apartment Pontanusstraat 12                            ,            1093 RW Amsterdam (Dapperbuurt)        ,"                €2,450 per month            ",93 m²,4 rooms
                        Apartment Oostenburgervoorstraat 47                            ,            1018 MN Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €3,750 per month            ",140 m²,4 rooms
                        Apartment Prinsenstraat                            ,            1015 DA Amsterdam (Grachtengordel-West)        ,"                €2,750 per month            ",110 m²,3 rooms
                        Apartment Hillegomstraat 32 2                            ,            1058 LT Amsterdam (Hoofddorppleinbuurt)        ,"                €2,800 per month            ",85 m²,4 rooms
                        Apartment Uiterwaardenstraat                            ,            1079 DD Amsterdam (Scheldebuurt)        ,"                €3,500 per month            ",120 m²,4 rooms
                        Apartment Saxen-Weimarlaan                            ,            1075 CE Amsterdam (Willemspark)        ,"                €2,750 per month            ",96 m²,3 rooms
                        Apartment Noorderstraat                            ,            1017 TR Amsterdam (De Weteringschans)        ,                Price on request            ,90 m²,3 rooms
                        Apartment Czaar Peterstraat                            ,            1018 PX Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €2,350 per month            ",90 m²,4 rooms
                        Apartment Haparandaweg                            ,            1013 BD Amsterdam (Houthavens)        ,"                €3,000 per month            ",110 m²,3 rooms
